index,array,name,base_name,status,reason,source,parfile,timfile,policy,priority_order
,PPTA,J0437-4715,J0437-4715,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J0437-4715.par,data/PPTA_DR3_github/analysis_codes/data/all/J0437-4715.tim,unique_only_reduced_3array_development,
,PPTA,J0613-0200,J0613-0200,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J0613-0200.par,data/PPTA_DR3_github/analysis_codes/data/all/J0613-0200.tim,unique_only_reduced_3array_development,
,PPTA,J0900-3144,J0900-3144,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J0900-3144.par,data/PPTA_DR3_github/analysis_codes/data/all/J0900-3144.tim,unique_only_reduced_3array_development,
,PPTA,J1022+1001,J1022+1001,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1022+1001.par,data/PPTA_DR3_github/analysis_codes/data/all/J1022+1001.tim,unique_only_reduced_3array_development,
,PPTA,J1024-0719,J1024-0719,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1024-0719.par,data/PPTA_DR3_github/analysis_codes/data/all/J1024-0719.tim,unique_only_reduced_3array_development,
,PPTA,J1600-3053,J1600-3053,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1600-3053.par,data/PPTA_DR3_github/analysis_codes/data/all/J1600-3053.tim,unique_only_reduced_3array_development,
,PPTA,J1643-1224,J1643-1224,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1643-1224.par,data/PPTA_DR3_github/analysis_codes/data/all/J1643-1224.tim,unique_only_reduced_3array_development,
,PPTA,J1713+0747,J1713+0747,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1713+0747.par,data/PPTA_DR3_github/analysis_codes/data/all/J1713+0747.tim,unique_only_reduced_3array_development,
,PPTA,J1730-2304,J1730-2304,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1730-2304.par,data/PPTA_DR3_github/analysis_codes/data/all/J1730-2304.tim,unique_only_reduced_3array_development,
,PPTA,J1741+1351,J1741+1351,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1741+1351.par,data/PPTA_DR3_github/analysis_codes/data/all/J1741+1351.tim,unique_only_reduced_3array_development,
,PPTA,J1744-1134,J1744-1134,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1744-1134.par,data/PPTA_DR3_github/analysis_codes/data/all/J1744-1134.tim,unique_only_reduced_3array_development,
,PPTA,J1832-0836,J1832-0836,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1832-0836.par,data/PPTA_DR3_github/analysis_codes/data/all/J1832-0836.tim,unique_only_reduced_3array_development,
,PPTA,J1857+0943,J1857+0943,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1857+0943.par,data/PPTA_DR3_github/analysis_codes/data/all/J1857+0943.tim,unique_only_reduced_3array_development,
,PPTA,J1909-3744,J1909-3744,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J1909-3744.par,data/PPTA_DR3_github/analysis_codes/data/all/J1909-3744.tim,unique_only_reduced_3array_development,
,PPTA,J2124-3358,J2124-3358,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J2124-3358.par,data/PPTA_DR3_github/analysis_codes/data/all/J2124-3358.tim,unique_only_reduced_3array_development,
,PPTA,J2145-0750,J2145-0750,skipped,duplicate pulsar name excluded by unique-only policy,par_tim,data/PPTA_DR3_github/analysis_codes/data/all/J2145-0750.par,data/PPTA_DR3_github/analysis_codes/data/all/J2145-0750.tim,unique_only_reduced_3array_development,
